"das Küchenregal, -e","polica"
"der Wasserhahn, Pl. -hähne","vodovodny kohútik"
"das Spülbecken,","kuchynsky drez"
"die Arbeitsfläche, -n","pracovná plocha"
"der Backofen, Pl. -öfen","rura na pecenie"
"der Küchenschrank, Pl. -schränke","skrinka"
"die Mikrowelle, -n","mikrovlnná rura"
"der Wasserkocher, -","rychlovarná kanvica"
"der Toaster,","hriankovac"
"die Küchenmaschine, -n","kuchynsky robot"
"die Spülmaschine, -n (v Rakúsku der Geschirrspüler, -)","umyvacka riadu"
"der Kühlschrank, -schränke","chladnicka"
"der Tiefkühler,","mraznicka"
"der Mülleimer, -","odpadkovy kÖs"
"das Brett, -er","doska"
"die Reibe, -n","strúhadlo"
"der Schäler,","skrabka"
"der Dosenöffner,","otvárac na konzervy"
"der Flaschenöffner,","otvárac na flase"
"die Knoblauchpresse,-n","pretládadlo na cesnak"
"der Pfannenwender, -","obracacka"
"das Sieb, -e","sitko"
"der Kochlöffel,","varecha"
"der Schöpflöffel,","naberacka"
"der Schneebesen,","metlicka na sneh"
"die Bratpfanne, -n","panvica"
"der Kochtopf, Pl. -töpfe","hrniec"
"die Schüssel, -n","misa"
"die Küchenwaage, -n","kuchynská vaha"
"das Backblech, -e","plech na pecenie"
"die Schürze, -n","zástera"
"die Tasse, -n","sálka"
"der Teller,","tanier"
"das Glas, Pl. Gläser","pohár"
"die Serviette, -n","servitka"
"die Gabel, -n","vidlicka"
"das Messer,","noz"
"der Löffel,","lyzica"
"Ich habe ein kleines Problem.","Mám maly problém"
"Könnte ich etwas mit Ihnen besprechen?","Mohol by som s Vami o niecom pohovorit?"
"Könnte ich etwas mit dir besprechen?","Mohol by som s tebou o niecom pohovorit?"
"Das stimmt nicht.","To nie je pravda."
"Das ist nicht richtig.","To nie je správne."
"Stimmt das wirklich?","Te to skutocne pravda?"
"Das wundert mich.","To ma udivuje."
"Das geht doch nicht.","To nejde."
"Das kann nicht sein.","To nemoze byt."
"Ich bin verärgert.","Som nahnevaná/v"
"Ich bin enttäuscht.","Som sklamaná/y"
"Es war ausgemacht, dass ich bis 15 (fünfzehn) Uhr Pause habe,","Dohodli sme sa, ze do tretej mám prestavku."
"Ich brauche einmal eine Pause.","Potrebujem opat prestávku."
"Ich habe starke Kopfschmerzen.","Boli ma silno hlava."
"Ich muss zum Meldeamt gehen.","Musím ist na úrad evidencie obyvatelstva."
"Das ist ein Notfall. Bitte kommen Sie sofort.","Toto je kriticky stav. Prosím, pride okamzite."
"Wir brauchen sofort einen Notarzt.","Potrebujeme ihned' lekára."
"Die Oma / der Opa ist gestürzt.","Starká/starky spadla/spadol."
"Er/Sie hat sich (schwer) verletzh.","Zranil(a) sa (tazko)."
"Er ist ausgerutscht.","Smykol st."
"Sie kann nicht mehr aufstehen.","Nevie sa postavit."
"Er bekommt keine Luft meht.","Nemôze dychat."
"Sie kann sich nicht beruhigen.","Nevie sa upokojit."
"Er blutet stark.","Silno krváca."
"Sie hat sich das Bein gebrochen.","Zlomila si nohu."
"Er schlägt um sich.","Rozhadzuje rukami"
"Sie ist hysterisch.","Je hystericka."
"Er hat starke Bauchschmerzen.","Boli ho velmi brucho."
"Sie hat Durchfall.","Má hnacku."
